movieId,title,overview,genres,keywords,releaseDate,voteAverage,voteCount,posterPath,director
353433,Urge,A group of friends on holiday on an island experiment a new designer drug that makes them lose their ability to control their urges.,[53],"suicide, female nudity, paradise, island, party, friends, murder, drug, sex scene, hedonism, getaway, duringcreditsstinger, night club owner, overeating, wildest fantasies",2016-02-14,4.5,44.0,/9OxOFZcn1DRKeYrxtFoKUVGXIqk.jpg,Aaron Kaufman
192040,Planet Earth,"A documentary miniseries described by its makers as ""the definitive look at the diversity of our planet"". Each 50 minute episode features a global overview of a different biome or habitat on Earth (Polar, Mountain, Cave, Desert, Plains, Fresh Water, Seas, Ocean, Forest), followed by a ten-minute featurette which takes a behind-the-scenes look at the challenges of filming the episode.",[99],"miniseries, great cinematpgraphy",2006-12-10,8.8,176.0,/zX2tjZXInTpKqFWI8Tf9LYeCg97.jpg,Alastair Fothergill
220903,Life,"David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth in this 10-episode miniseries. The first is an overview the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates.",[99],"plant, animal species, biology, wildlife, ecology, animal, nature, evolution, science, natural selection, woman director, life",2009-12-14,8.5,65.0,/uXi7XSMwM5jP7HjcfclfCahhzuT.jpg,Martha Holmes
347123,All the Way,"Lyndon B. Johnson's amazing 11-month journey from taking office after JFK's assassination, through the fight to pass the 1964 Civil Rights Act and his own presidential campaign, culminating on the night LBJ is actually elected to the office – no longer the 'accidental President.'","[18, 36, 10770]","usa president, biography, politics, historical drama, 1960s",2016-05-23,6.6,90.0,/j4AEurmnYoRsA1nHhRK9AE4j2CL.jpg,Jay Roach
121572,Toad Road,A disturbing portrait of contemporary youth culture where the lines between reality and fiction are blurred with often frightening results.,"[53, 27]","drug addict, entrance to hell, seven gates",2013-10-25,4.7,11.0,/71uFW8n72RuRjsrGfFgJDhutcV5.jpg,Jason Banker
29477,Highway 301,"The ""Tri-State"" gang goes on a successful bank robbing streak causing local authorities to turn up the heat on the daring career criminals.",[80],"bank robber, classic, b movie",1950-12-01,6.6,5.0,/qgkhQ2LWEXdPZoiXFUrypkpyooK.jpg,Andrew L. Stone
400608,Bo Burnham: Make Happy,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special about  life, death, sexuality, hypocrisy, mental illness and Pringles cans.","[10402, 35]",stand-up comedy,2016-06-03,8.4,56.0,/qVThhskXZZHDfj4m8jOx2CxIVIW.jpg,Bo Burnham
58522,Boris - Il film,A director and his crew attempt to make the transition from the small to the big screen.,[35],"satire, grotesque",2011-04-01,6.8,74.0,/bro0yk5rDSU3mCIk5pnEzPDWV50.jpg,Giacomo Ciarrapico
259693,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,[27],"london england, england, 1970s, spirit, single mother, demon, paranormal investigation, demonic possession, valak, annabelle",2016-05-13,7.0,2018.0,/zEqyD0SBt6HL7W9JQoWwtd5Do1T.jpg,James Wan
89587,Eyes of Crystal,"While hunting a cultured, intelligent and vicious psychopath, Inspector Amaldi comes face to face with the physical and moral decay of his city as well as the ghosts of his own past.",[53],giallo,2004-11-26,6.0,7.0,/5AhCbCWmDQPJdfm07LdrLUkpui.jpg,Eros Puglielli
377823,The Final Master,"Determined to pass down his art, the Final Master of Wing Chun is caught in a power struggle with malicious local officials and ultimately must choose between personal honor and his master’s dying wish.","[18, 28]",,2015-12-10,6.8,15.0,/vjPavx5RipvydpVrca1MzwWkJxS.jpg,Xu Haofeng
376261,Weiner,"Documentary featuring a jaw-dropping, behind-the-scenes look at the attempted comeback of Anthony Weiner in 2013 as he mounts a campaign for New York City mayor in the wake of his sexting scandal. Featuring unfettered access to the candidate and his campaign.",[99],woman director,2016-05-20,7.7,51.0,/56p58BDYpSISNXhRDHfXBV0i7Zj.jpg,Josh Kriegman
109088,The Shaolin Avengers,"The famous story of the Shaolin Temple's betrayal by the White-Browed Hermit, and the subsequent revenge by Shaolin firebrand Fang Shih-yu, is the stuff of legend. It has been filmed many times by many directors, but few are remembered as fondly as this production. The potent combination of director Chang Cheh and international idol Alexander Fu Sheng caught lightning in a lens.",[28],,1976-06-18,4.9,5.0,/yXl2BPZHsmhuUgl8hUic430UsNd.jpg,Chang Cheh
205891,The Demented,Six college friends unite for a weekend getaway where they find themselves fighting for their lives after a terrorist attack turns the local residents into rage infused zombies.,"[18, 27, 53]",,2013-07-30,4.6,35.0,/gBkgiLMGlFZFlF0vGuaFVVaiTIF.jpg,Christopher Roosevelt
364902,The Dresser,"One fateful night in a small English regional theatre during World War II a troupe of touring actors stage a production of Shakespeares King Lear. Bombs are falling, sirens are wailing, the curtain is up in an hour but the actor/manager Sir who is playing Lear is nowhere to be seen. His dresser Norman must scramble to keep the production alive but will Sir turn up in time and if he does will he be able to perform that night? The Dresser is a wickedly funny and deeply moving story of friendship and loyalty as Sir reflects on his lifelong accomplishments and seeks to reconcile his turbulent friendships with those in his employ before the final curtain.",[18],,2015-10-31,6.8,19.0,/zu1RH6FJxRH3tavMrt1hSTSh6PP.jpg,Richard Eyre
65192,The Savage Five,"A pacifist village is beset by bandits in this martial arts thriller. ""Savage Five"" hands-down rivals the ornateness of ""Kid With The Golden Arm"" and the twist-heavy ""Five Deadly Venoms"". The always great David Chiang plays a lesser version of his Rover character from ""Duel Of The Iron Fist"", and Ti Lung, looking incredible here, is at his physical best. Accolades to Chen Kuan Tai and Wang Chung in great sympathetic roles, too. A kung fu classic where the actual martial arts display takes a back seat to the mesmerizing story.",[28],,1974-02-15,5.6,5.0,/jXj3PcSSp0IWsbgyHJNASrIU8jr.jpg,Chang Cheh
391757,Never Back Down: No Surrender,"Picking up after the events of Never Back Down 2, former MMA champion Case Walker is on the comeback trail to become champion once again.","[18, 28]","martial arts, fight, training, champion, sport, blood, violence",2016-06-07,6.8,72.0,/pHVswTDHAvq9Npi0XCZ0qVMSiM2.jpg,Michael Jai White
328429,Approaching the Unknown,"Captain William Stanaforth is on a one-way solo mission to take the first steps in colonising Mars. Like all pioneers throughout history, Stanaforth will face insurmountable odds and life and death decisions as he rockets bravely through space.","[53, 18, 878]","mars, space travel, space mission, space",2016-06-03,5.1,89.0,/zubKPqGvXog7LWMyVVZChCo4E8L.jpg,Mark Elijah Rosenberg
245913,Pelé: Birth of a Legend,"The life story of Brazilian football legend, Pele.",[18],"brazil, biography, sport, soccer",2016-05-06,7.3,175.0,/aJoDgK9PUClJOlpA1xUixj8dvsN.jpg,Jeff Zimbalist
82819,The Captive Heart,"A series of stories about the lives and loves of nine men in a Prisoner of War Camp over five years. Location shooting in the British occupied part of Germany adds believability. The main story is of Hasek (Redgrave) a Czech soldier who needs to keep his identity a secret from the Nazis, to do this he poses as a dead English Officer and corresponds with the man's wife. Upon liberation they meet and decide to continue their lives together. The other inmates' stories are revealed episodically.","[18, 10752]",,1946-04-29,5.9,7.0,/5g9d9RYuTp7TDzsi3AKniQkVngG.jpg,Basil Dearden
75198,Bienvenue à bord,"Isabelle (Valerie Lemercier), HR of a large cruise company, made the mistake of choosing her boss as a lover. Before embarking on the maiden voyage of the new flagship of the fleet, though, he decided to disembark from their relationship! Some women take their revenge by poison, firearm, or slander. Isabelle chooses Remy (Franck Dubosc), a flamboyant, unemployed ne'er-do-well who flunked out in life on land, but after all is said and done, might have better luck at sea... She recruits him as leader of her plot and on this Palace of the Seas, Remy will first prove to be the worst nightmare of the CEO and Richard (Gerard Darmon), the Cruise Director...then, little by little, he will change his life and that of all those who cross his path... Written by Online description",[35],comedy,2011-10-05,5.3,118.0,/k4gweAvrUR4H4hjJTPucPOO0mlw.jpg,Eric Lavaine
329750,(Dis)Honesty: The Truth About Lies,A documentary about why people lie. Includes profiles with famous liars.,[99],woman director,2015-05-22,6.8,21.0,/kqn5YPQySbYgum0VJzOZza8gOsq.jpg,Yael Melamede
395883,Andron,"A group of people are plunged into a dark, claustrophobic maze, where they must fight to survive, as the outside world watches.","[28, 878]","maze, labyrinth, claustrophobic",2015-11-08,3.9,49.0,/xVyHjAwCVYcoCQQHyc1zQH9DSoU.jpg,Francesco Cinquemani
